ID,Eavg,Mavg,NumCoCurri,DaysAbsent,OverallAvg,H_inc
169,67,69,0,9,65,501835
171,60,71,0,48,57,535608
173,62,50,0,42,63,979968
174,68,80,2,24,65,182126
175,60,37,2,1,58,214355
176,82,72,0,23,65,
177,21,15,0,188,24,307676
178,60,46,0,55,51,196446
179,59,36,0,20,46,267760
183,27,30,0,164,20,438472
184,66,77,0,16,62,391465
185,61,53,0,37,59,137316
186,69,65,0,11,57,749544
187,67,63,0,38,57,821823
188,72,89,2,13,72,
189,59,45,0,25,42,757037
190,86,91,2,7,81,550691
191,79,65,0,11,64,245758
192,60,54,2,19,49,937178
193,73,76,0,8,66,41342
194,64,72,0,8,70,41018
195,62,62,0,85,52,480290
198,64,42,2,26,44,592652
200,78,23,0,27,41,219569
201,72,44,0,17,57,328785
202,73,46,0,18,57,26409
203,75,72,0,27,75,670538
204,58,79,2,41,60,
205,66,43,0,45,55,233803
206,69,71,0,16,65,195281
207,72,64,0,35,64,472273
209,,,,218,21,178420
210,55,59,0,14,60,367422
212,57,67,0,8,55,430071
213,63,48,0,38,54,207142
214,64,38,0,31,56,394912
216,67,63,0,66,59,508280
218,88,72,2,90,52,929555
219,14,,0,275,6,661312
220,63,12,0,47,49,
221,62,77,0,20,67,75503
222,47,71,0,29,51,612804
223,59,33,0,53,44,26687
224,80,50,0,14,55,584337
225,64,91,12,2,75,489584
227,59,48,0,23,52,255026
228,67,38,0,19,37,118438
229,56,35,0,17,40,528476
231,88,75,4,15,66,
232,67,78,0,16,72,874695
234,77,61,0,11,59,637600
235,48,21,0,26,46,175286
237,58,41,0,46,51,687302
239,59,28,0,64,49,434284
240,53,32,0,27,55,655438
241,66,60,0,12,57,693464
242,71,53,0,36,53,300973
245,42,43,0,26,46,
248,78,51,0,20,62,761920
249,76,78,0,36,65,704303
250,60,84,4,8,63,764987
256,77,53,2,27,64,552876
257,76,47,0,10,57,809382
258,69,81,0,8,70,186768
259,57,55,0,15,59,73727
261,43,32,0,54,48,961275
262,70,47,0,11,70,69947
263,61,35,0,52,46,202586
265,81,52,0,9,59,
266,50,29,0,25,37,565309
267,33,41,0,6,30,94350
268,83,83,2,2,73,923709
269,40,23,0,56,23,588679
270,36,19,0,22,39,250258
271,36,28,0,45,40,137500
273,53,37,0,67,33,341531
274,71,42,6,5,55,824462
278,61,,2,2,52,107476
279,55,78,0,19,59,194066
280,71,62,0,18,66,592964
282,61,86,0,13,67,79142
283,65,48,0,8,59,
284,76,19,0,17,54,267539
285,61,37,0,74,42,267217
286,73,40,0,27,62,568209
287,72,94,0,20,73,196250
288,70,60,2,31,59,484723
289,75,68,0,12,69,19591
290,59,73,0,62,58,603298
291,59,12,0,42,33,305850
292,62,57,0,2,52,890861
297,55,73,2,34,63,961000
298,61,38,2,12,51,828874
302,66,65,0,23,51,847792
303,80,70,2,13,72,
308,67,75,0,29,67,144900
309,73,69,2,17,48,330272
310,77,84,2,7,69,798644
311,7,72,0,75,28,788162
312,72,79,0,24,65,404430
313,64,56,0,9,61,41380
314,56,33,0,7,45,26616
315,76,54,0,68,55,16348
316,70,62,0,4,55,362198
317,55,89,0,57,64,511906
318,62,66,4,16,62,914171
319,71,79,2,16,66,738650
320,83,74,0,18,67,797020
321,83,67,0,17,63,
323,61,75,0,1,64,815259
324,75,26,0,59,51,146255
325,52,35,0,36,47,801400
326,63,31,2,3,52,273205
327,69,43,0,10,60,583668
329,71,31,0,27,52,1512
330,68,24,0,32,45,584396
331,56,20,0,48,38,160118
332,79,61,0,21,64,105030
333,71,77,0,8,71,567949
335,62,82,0,34,65,218270
336,75,82,0,2,56,
337,79,69,0,26,65,979978
338,83,65,0,35,69,559769
339,66,61,0,26,59,527116
341,72,83,2,8,71,88164
343,66,93,2,14,68,822792
344,44,38,0,52,40,730321
346,76,59,0,24,66,134363
347,86,59,0,52,61,47729
348,83,86,0,13,64,70542
350,21,18,0,58,15,56221
352,47,59,0,97,52,212226
355,67,62,0,10,60,443921
358,41,60,0,96,43,509652
360,70,49,0,42,54,867873
361,77,84,2,9,66,727300
362,62,63,0,15,57,
365,81,70,0,7,78,850951
367,71,92,0,5,69,462338
368,64,69,0,142,51,470139
369,83,85,2,48,66,623327
372,45,62,2,17,48,826781
374,74,53,2,27,61,906469
375,71,42,2,16,59,333813
377,72,56,0,33,58,820352
378,63,59,0,60,59,787042
379,86,77,0,18,73,30097
382,76,88,2,2,79,33627
384,62,62,0,16,51,
387,62,37,0,87,48,199326
388,46,63,0,76,47,833772
389,66,50,0,30,59,236291
390,62,41,0,30,54,900385
391,66,56,0,10,61,328529
392,69,56,2,13,54,889829
393,78,63,0,16,57,484636
395,58,45,0,0,52,455401
396,63,52,0,36,51,238343
397,63,68,0,33,64,722879
399,71,49,0,21,47,176358
400,61,37,0,39,50,537706
401,50,48,0,13,53,
402,67,56,0,24,44,474847
403,61,71,0,28,48,908327
404,62,60,2,24,69,393351
405,67,37,0,62,45,353237
406,51,65,0,45,44,174887
408,68,44,0,2,55,34083
409,53,9,0,79,37,558320
410,57,67,2,15,54,533825
411,78,51,0,14,56,848668
412,74,66,0,14,69,
419,77,100,0,4,73,733038
420,55,59,0,38,46,219487
421,70,65,0,21,67,201037
424,63,83,0,2,71,388542
425,64,43,0,33,51,983404
426,68,74,0,12,57,709278
429,78,73,0,10,65,840743
431,55,61,0,23,59,560161
432,75,91,0,4,87,
434,37,13,0,129,33,228569
437,59,16,0,40,46,770426
438,66,20,0,25,60,493141
440,58,89,0,14,68,94642
441,73,53,0,7,57,118590
442,66,91,0,38,69,214198
443,59,54,0,33,54,99999999
444,61,94,0,17,63,479587
446,52,39,0,55,49,437083
448,67,41,0,65,59,879843
449,77,52,0,14,58,303073
451,75,64,0,10,70,934930
453,67,34,2,13,59,506206
454,35,11,0,157,30,110810
455,33,19,0,47,35,278750
456,63,80,0,52,63,632680
457,73,77,0,15,67,315114
458,55,36,0,90,50,356640
459,58,24,0,20,37,581818
460,57,82,0,52,58,216418
462,80,65,0,9,60,973021
464,61,52,0,15,51,266660
465,45,42,0,18,48,751699
466,72,77,0,12,68,488589
468,72,62,0,2,69,864503
469,77,87,2,13,63,351732
470,69,79,0,11,64,445629
471,68,93,0,42,69,358952
473,79,77,0,37,66,363098
474,50,27,0,30,54,582404
475,62,59,0,20,51,193440
476,75,71,0,41,65,519377
477,40,38,0,27,35,860966
480,46,10,0,34,22,401363
481,61,40,0,34,35,2076
482,65,81,0,14,67,541505
485,63,39,0,47,49,202034
486,74,87,0,18,70,831694
487,63,73,0,4,67,592002
488,53,31,0,78,34,253653
489,67,61,0,87,54,790820
491,31,56,0,83,39,938387
492,77,64,0,2,75,547683
493,66,61,0,21,61,702866
495,49,35,0,43,49,602605
496,69,68,0,9,67,872678
497,79,52,0,8,58,408451
499,78,67,0,22,74,14013
500,58,68,0,32,54,74066
501,49,43,0,60,52,558327
503,65,24,0,41,51,401818
504,62,64,0,11,49,700664
505,70,69,0,18,61,387469
506,26,52,0,76,31,875349
507,76,70,0,20,73,475544
508,67,34,2,8,55,237192
511,66,98,0,8,65,88646
512,64,53,0,14,50,335591
515,68,41,2,9,56,530267
517,68,75,0,8,65,422257
518,74,40,2,37,60,132284
520,59,54,2,16,57,88196
521,79,64,0,8,73,364137
524,59,53,0,17,54,178205
525,26,18,2,161,16,226787
526,72,33,0,56,50,907576
527,32,36,0,80,44,688918
529,67,57,0,30,61,398548
530,80,98,2,9,84,643227
531,82,95,0,11,73,818927
532,47,60,0,58,47,992185
534,49,47,0,24,56,66144
535,74,36,0,6,60,333675
536,71,69,0,21,69,589786
537,81,72,2,9,58,663160
538,62,41,0,63,46,366564
540,12,0,0,101,10,521650
541,61,36,0,51,52,89996
542,65,46,4,21,53,610743
543,67,53,0,2,53,970576
544,77,55,0,24,58,666266
547,38,69,0,54,52,327900
548,62,94,0,30,68,507080
549,71,83,0,11,85,963295
550,47,40,0,92,38,287021
551,60,90,0,37,70,595523
553,63,54,2,7,62,879211
555,67,49,4,13,56,407497
556,37,25,0,46,26,726166
557,66,41,2,21,50,566336
558,72,49,2,30,67,808168
560,84,75,0,8,76,235146
561,55,33,0,29,50,470448
562,63,28,0,37,44,728945
565,69,58,0,55,44,996582
566,47,71,0,51,50,682810
567,69,88,0,2,76,507064
568,64,66,0,12,61,493909
569,41,45,0,43,36,800551
572,67,63,0,22,65,108963
573,84,56,0,11,67,232179
574,62,93,0,19,60,444087
576,59,73,0,75,50,848828
577,82,82,0,35,85,892709
579,70,66,2,3,52,758540
580,64,92,0,5,77,753156
581,51,52,0,10,37,527048
582,73,63,2,24,72,909745
583,74,79,0,10,66,271518
584,11,68,0,137,33,305735
585,59,81,0,2,61,820447
586,71,70,0,35,57,279546
587,61,76,0,13,59,857927
588,78,58,0,17,64,219947
590,74,31,0,29,44,650623
592,77,48,0,23,59,408139
593,69,66,0,11,68,84620
594,66,58,0,38,46,245148
597,75,86,0,25,75,93469
602,54,54,0,14,45,322731
605,47,18,0,15,31,173564
606,69,40,0,19,46,555545
609,31,44,0,18,33,542798
610,84,68,0,9,69,217160
611,71,39,0,51,56,69031
612,86,84,0,2,81,687342
614,81,85,0,6,74,359515
615,66,48,0,35,50,124605
616,56,50,0,53,46,679793
619,52,34,0,32,56,163567
620,72,79,2,9,76,19315
621,58,16,0,39,44,442324
622,77,75,0,82,50,888258
623,29,11,0,107,27,410862
626,65,97,0,24,83,72232
631,36,26,0,65,35,971674
632,50,38,0,35,46,653903
634,65,84,0,15,74,334395
636,65,35,2,21,52,575550
637,64,45,0,18,54,808689
646,44,,0,56,30,218126
647,43,10,0,133,30,595414
649,62,37,0,74,46,2605
653,56,70,0,2,60,147479
656,60,35,0,73,49,336871
657,52,22,0,65,37,829818
658,65,35,0,25,58,613540
659,48,38,0,45,47,863476
661,61,92,0,0,75,607449
666,68,37,0,59,50,160299
669,68,52,0,5,56,169264
682,65,88,0,8,67,868656
690,45,18,0,79,33,578994
700,69,42,2,6,55,904136
724,59,30,4,18,49,279221
726,72,51,0,12,44,147343
730,52,31,0,38,38,206963
736,84,77,0,24,66,850436
738,44,28,0,19,36,911529
740,57,40,0,14,55,40199
743,41,23,0,27,44,479876
747,33,,0,145,25,505096
749,54,75,0,57,57,851919
758,54,57,0,14,58,428766
765,62,89,0,44,70,737584
771,73,58,0,5,54,316712
777,74,38,0,18,53,688967
784,52,54,0,74,58,353238
786,57,69,0,28,50,196947
787,45,67,0,22,59,235443
792,73,86,2,10,75,879488
803,69,49,0,35,60,935655
804,83,58,2,10,61,837401
807,60,32,0,25,55,913163
810,55,25,0,61,47,343013
816,62,49,0,18,53,631312
819,53,49,0,7,54,918413
828,14,,0,161,9,306422
831,64,88,0,13,70,510049
832,55,56,0,32,54,574450
833,62,52,0,36,62,422888
834,51,28,0,37,43,871636
853,61,25,0,45,52,893007
874,69,38,0,15,54,559043
877,27,18,0,105,31,375980
882,69,39,0,17,45,306968
896,74,65,2,10,67,45076
899,55,42,0,17,50,645973
902,62,55,0,24,60,156851
909,67,81,0,30,71,21587
911,70,71,2,0,67,132852
921,31,53,0,108,42,902141
922,63,48,0,18,56,162907
923,69,84,0,104,65,801884
925,67,54,0,16,56,662583
927,33,41,0,16,38,708687
935,36,35,0,115,36,456452
937,52,34,0,11,41,367141
939,66,55,0,3,55,614557
940,47,31,0,32,44,756659
942,53,74,0,18,68,572948
949,72,43,2,50,52,832866
951,20,30,0,146,31,679297
954,67,81,0,96,65,132600
971,45,31,0,90,37,553856
975,63,43,0,30,51,935760
976,73,61,0,10,68,506355
979,63,33,0,5,47,150091
985,62,79,0,74,63,234073
988,49,27,0,15,40,701562
991,75,91,2,31,72,369238
992,66,90,0,25,71,82368
994,45,18,0,157,31,676923
997,47,24,0,47,46,829358
1002,66,72,0,2,63,472553
1006,59,55,0,23,48,435480
1020,38,34,0,108,38,566998
1024,33,18,0,119,36,889084
1028,46,25,0,21,44,124680
1033,54,59,0,46,51,397049
1041,68,64,0,4,59,457669
1043,67,64,0,4,62,758056
1048,47,24,0,132,40,369857
1050,68,94,0,32,72,535416
1057,47,15,0,64,46,452953
1071,61,69,0,45,59,742207
1073,61,79,0,28,59,258450
1080,61,27,4,69,38,808976
1081,61,30,0,6,45,501628
1087,59,50,0,17,57,22161
1089,75,43,0,37,49,364485
1091,66,75,0,102,60,237131
1096,51,71,0,4,62,591219
1111,56,48,0,37,50,817936
1112,52,47,0,50,47,139501
1114,29,10,0,111,24,653136
1124,63,77,0,5,57,873516
1125,49,23,0,7,58,934973
1133,45,19,0,116,38,671779
1134,64,61,0,12,48,169920
1137,63,56,0,25,52,541112
1140,46,37,2,11,36,918931
1151,34,41,0,155,36,875000
1156,30,49,0,61,38,765455
1157,19,33,0,122,33,222172
1165,61,83,2,16,67,366043
1172,43,39,0,73,46,218717
1174,73,40,0,30,53,170990
1176,71,34,0,5,50,315366
1179,48,60,0,31,41,295892
1186,57,31,0,29,47,856416
1187,60,74,0,47,59,964279
1189,60,52,0,5,50,995397
1192,72,76,0,25,62,972198
1194,66,90,0,5,81,357079
1197,66,61,0,50,70,867795
1198,62,85,0,16,59,987606
1209,32,28,0,104,36,653261
1210,45,57,0,50,42,360896
1212,34,55,0,125,35,696000
1215,53,18,0,118,50,961748
1217,22,10,0,169,20,859530
1219,61,41,0,5,49,365662
1224,51,30,0,44,54,367809
1228,71,66,0,59,65,32072
1233,59,89,4,1,73,800000
4456,,,4,70,55,227103
4553,,,4,5,55,806695
4559,,,2,5,61,383353
4681,70,48,2,6,64,273032
4685,65,50,2,22,54,747915
4688,70,55,0,4,62,707378
4696,55,67,0,91,51,581059
4702,64,83,0,49,72,202962
4705,58,49,0,23,51,453096
4711,79,80,0,85,67,247476
4714,59,83,0,22,69,537630
4717,75,88,0,28,71,221510
4720,65,72,0,3,67,821502
4723,38,,0,92,26,118820
4726,61,94,2,3,73,496191
4729,63,27,0,39,48,923195
4732,18,10,0,29,21,379495
4735,64,23,2,31,49,213035
4741,63,29,0,37,46,207419
4744,39,49,0,15,46,36289
4750,48,34,0,48,40,462880
5010,66,57,0,45,52,142426
5019,41,34,0,71,45,991242
5153,0,0,4,38,51,318452
5468,63,51,0,71,47,431982
5478,68,58,0,12,66,714691
5484,48,11,0,7,43,950405
5559,68,71,0,22,57,505706
5568,65,54,0,27,65,989613
5630,62,45,0,13,52,733427
5673,64,31,0,41,41,575706
5750,31,47,0,76,42,604281
5754,61,72,2,27,67,361923
5806,,,4,42,48,908554
5832,12,3,0,123,16,171052
5929,68,54,0,8,48,267569
